edge_id,from_node,to_node,from_x,from_y,to_x,to_y,shape
314562847#0,3206058537,9634857078,5475.48,6273.28,5500.07,6267.7,"5475.48,6273.28 5500.07,6267.70"
314562847#1,9634857078,3206058515,5514.07,6264.86,5563.79,6257.18,"5514.07,6264.86 5551.80,6257.96 5563.79,6257.18"
314562847#2,3206058515,cluster_3206058555_3206090569,5571.72,6247.56,5567.8,6217.05,"5571.72,6247.56 5567.80,6217.05"
314562850#0,3206058515,3755412582,5578.28,6256.05,5659.7,6248.55,"5578.28,6256.05 5659.70,6248.55"
314562850#1,3755412582,3206058526,5673.89,6250.49,5706.87,6256.65,"5673.89,6250.49 5706.87,6256.65"
314563782,2122296485,cluster_297532982_3206066553,5340.97,5751.14,5367.14,5782.53,"5340.97,5751.14 5349.65,5767.20 5367.14,5782.53"
314563783#1,cluster_2122277802_8157199290,8157208477,5277.98,5413.7,5281.63,5445.77,"5277.98,5413.70 5281.63,5445.77"
314563783#2,8157208477,3752450240,5283.2,5460.1,5285.05,5477.56,"5283.20,5460.10 5285.05,5477.56"
314563783#3,3752450240,3752450250,5286.57,5491.88,5288.19,5507.24,"5286.57,5491.88 5288.19,5507.24"
314563783#4,3752450250,11702832915,5289.71,5521.57,5300.16,5552.08,"5289.71,5521.57 5290.93,5533.07 5299.35,5550.20 5300.16,5552.08"
314563783#5,11702832915,3265221485,5309.14,5566.21,5353.9,5595.53,"5309.14,5566.21 5314.81,5573.39 5353.90,5595.53"
314563784#0,2122281883,cluster_3206080712_8157208426,4788.63,5113.64,4740.52,5158.4,"4788.63,5113.64 4773.47,5129.33 4758.50,5143.65 4740.52,5158.40"
314563784#1,cluster_3206080712_8157208426,3206080663,4738.94,5166.29,4737.41,5176.66,"4738.94,5166.29 4737.41,5176.66"
314563784#2,3206080663,cluster_3206080688_3206080709,4735.69,5190.88,4726.65,5232.74,"4735.69,5190.88 4733.21,5216.51 4726.65,5232.74"
314563784#4,cluster_3206080688_3206080709,3206080683,4731.24,5252.26,4751.41,5277.51,"4731.24,5252.26 4748.92,5265.99 4751.16,5272.36 4751.41,5277.51"
314563784#5,3206080683,8157208464,4756.97,5285.26,4771.35,5289.63,"4756.97,5285.26 4767.90,5289.58 4771.35,5289.63"
314563784#6,8157208464,cluster_3206080711_8157199268,4786.13,5289.87,4915.9,5291.98,"4786.13,5289.87 4867.69,5291.20 4915.90,5291.98"
314563784#7,cluster_3206080711_8157199268,3206066541,4924.15,5291.78,4932.87,5213.98,"4924.15,5291.78 4929.86,5287.50 4930.90,5275.66 4932.87,5213.98"
314563784#8,3206066541,3206066542,4933.33,5199.58,4933.98,5179.18,"4933.33,5199.58 4933.98,5179.18"
314563784#9,3206066542,2122281874,4934.44,5164.78,4935.51,5131.53,"4934.44,5164.78 4935.51,5131.53"
314563785#1,3269294185,3206066539,5210.38,5267.39,5201.84,5244.88,"5210.38,5267.39 5203.71,5257.21 5201.84,5244.88"
314563786,3206066542,3206066546,4925.44,5170.12,4773.6,5166.15,"4925.44,5170.12 4773.60,5166.15"
314563787#0,2122268058,cluster_3206066540_8157199275,4980.61,5205.12,4978.95,5263.8,"4980.61,5205.12 4978.95,5263.80"
314563787#1,cluster_3206066540_8157199275,8157199276,4987.37,5272.94,5024.57,5274.94,"4987.37,5272.94 5024.57,5274.94"
314563787#2,8157199276,3269294185,5038.95,5275.71,5206.92,5279.4,"5038.95,5275.71 5180.31,5283.13 5202.86,5281.26 5206.92,5279.40"
314563788#0,3206066541,8157208448,4924.32,5204.8,4901.81,5203.57,"4924.32,5204.80 4901.81,5203.57"
314563788#1,8157208448,3752447406,4887.4,5202.82,4875.89,5202.25,"4887.40,5202.82 4875.89,5202.25"
314563788#2,3752447406,3206066543,4861.32,5201.8,4774.92,5199.99,"4861.32,5201.80 4797.28,5200.93 4774.92,5199.99"
314564492#0,3206080680,8157199254,5104.4,5378.5,5046.53,5319.2,"5104.40,5378.50 5090.02,5323.64 5046.53,5319.20"
314564492#1,8157199254,8157199267,5032.18,5317.73,5017.29,5316.21,"5032.18,5317.73 5017.29,5316.21"
314564492#2,8157199267,cluster_3206080687_8157199255,5002.95,5314.75,4984.84,5312.9,"5002.95,5314.75 4984.84,5312.90"
314564492#3,cluster_3206080687_8157199255,cluster_3206066540_8157199275,4982.07,5309.85,4979.25,5287.79,"4982.07,5309.85 4981.87,5309.65 4980.19,5306.75 4979.25,5287.79"
314564494#0,2122300366,cluster_3752450292_3752450294,4983.47,5717.96,4912.91,5775.93,"4983.47,5717.96 4954.84,5754.62 4947.93,5762.30 4919.60,5773.72 4912.91,5775.93"
314564494#1,cluster_3752450292_3752450294,8157208396,4908.85,5787.73,4910.89,5790.78,"4908.85,5787.73 4910.89,5790.78"
314564494#2,8157208396,3752450300,4923.02,5798.96,4923.2,5799.03,"4923.02,5798.96 4923.20,5799.03"
314564494#3,3752450300,3206080722,4937.02,5802.21,4981.82,5804.84,"4937.02,5802.21 4952.89,5802.48 4981.82,5804.84"
314564494#4,3206080722,8157208405,4995.56,5807.1,5055.83,5837.45,"4995.56,5807.10 5031.48,5817.55 5049.69,5830.92 5055.83,5837.45"
314564494#5,8157208405,308482227,5062.36,5844.38,5129.98,6007.41,"5062.36,5844.38 5073.21,5855.91 5089.46,5880.31 5107.55,5949.73 5129.55,6005.47 5129.98,6007.41"
314564497#0,2122279847,3206080716,5211.99,5011.61,5209.33,5008.38,"5211.99,5011.61 5209.33,5008.38"
314564497#1,3206080716,3206080664,5200.37,4997.13,5169.59,4963.51,"5200.37,4997.13 5187.96,4981.11 5177.06,4969.16 5169.59,4963.51"
314564596,3206083790,12082298463,6300.7,4832.4,6371.17,4853.24,"6300.70,4832.40 6371.17,4853.24"
314564896#0,cluster_2122277802_8157199290,3752450229,5270.48,5393.57,5170.83,5452.57,"5270.48,5393.57 5172.58,5383.45 5163.18,5383.81 5168.77,5412.05 5169.11,5421.73 5170.83,5452.57"
314564896#1,3752450229,3752450234,5171.53,5470.25,5171.5,5470.45,"5171.53,5470.25 5171.50,5470.45"
314564897#0,3206086880,3206086897,4929.87,5398.92,4968.14,5402.01,"4929.87,5398.92 4968.14,5402.01"
314564897#1,3206086897,8157199314,4980.81,5404.33,5005.82,5412.16,"4980.81,5404.33 5002.84,5410.78 5005.82,5412.16"
314564897#2,8157199314,8157199304,5019.58,5417.7,5078.08,5411.79,"5019.58,5417.70 5078.08,5411.79"
314564897#3,8157199304,3206080680,5092.44,5410.34,5106.54,5391.76,"5092.44,5410.34 5105.35,5409.03 5106.94,5408.02 5107.44,5406.19 5106.54,5391.76"
314564898#0,3206086882,3206086904,4820.59,5461.1,4845.28,5448.15,"4820.59,5461.10 4845.28,5448.15"
314564898#1,3206086904,3206086893,4848.6,5436.13,4847.33,5434.06,"4848.60,5436.13 4847.33,5434.06"
314564898#2,3206086893,8157208416,4838.69,5422.94,4826.98,5411.44,"4838.69,5422.94 4826.98,5411.44"
314564898#3,8157208416,cluster_3206086889_8157208466,4816.25,5400.9,4810.98,5395.73,"4816.25,5400.90 4810.98,5395.73"
314564898#4,cluster_3206086889_8157208466,8157208474,4812.38,5388.83,4869.29,5366.5,"4812.38,5388.83 4869.29,5366.50"
314564898#5,8157208474,3206086881,4882.7,5361.24,4917.9,5347.41,"4882.70,5361.24 4917.90,5347.41"
314564898#6,3206086881,8157208415,4923.59,5351.52,4923.14,5359.86,"4923.59,5351.52 4923.14,5359.86"
314564898#7,8157208415,3206086880,4922.33,5374.85,4921.53,5389.55,"4922.33,5374.85 4921.53,5389.55"
314564898#8,3206086880,3206086900,4920.67,5405.39,4919.36,5421.33,"4920.67,5405.39 4919.87,5420.32 4919.36,5421.33"
314564898#9,3206086900,3206086904,4909.72,5427.4,4856.88,5440.24,"4909.72,5427.40 4856.88,5440.24"
314564901#0,12086553362,2670147916,5435.08,5279.15,5424.58,5282.68,"5435.08,5279.15 5424.58,5282.68"
314564901#1,2670147916,12086553361,5415.06,5286.11,5414.87,5286.18,"5415.06,5286.11 5414.87,5286.18"
314564901#2,12086553361,12086553363,5404.65,5288.59,5303.92,5121.78,"5404.65,5288.59 5360.18,5295.75 5341.81,5284.25 5314.44,5250.68 5294.28,5189.17 5278.66,5137.51 5278.56,5129.52 5303.92,5121.78"
314565436,3206090584,6045642702,5621.54,6410.04,5619.84,6385.27,"5621.54,6410.04 5619.84,6385.27"
314565437,3206090571,3206090582,5600.37,6193.12,5581.11,6107.75,"5600.37,6193.12 5581.11,6107.75"
314565438,3206090581,cluster_2675626677_3206090573,5504.73,6216.8,5485.04,6117.7,"5504.73,6216.80 5485.04,6117.70"
314565439,1086228635,3206090568,5862.37,5931.89,5858.44,5885.37,"5862.37,5931.89 5858.44,5885.37"
314565440,3206090577,3206090579,5608.74,6105.11,5629.28,6185.68,"5608.74,6105.11 5629.28,6185.68"
314565441,3206090584,3206090576,5620.0,6424.38,5624.59,6451.93,"5620.00,6424.38 5624.59,6451.93"
314565442,cluster_3206058555_3206090569,cluster_2122505180_3266747420,5571.04,6200.68,5551.67,6111.16,"5571.04,6200.68 5552.89,6114.71 5551.67,6111.16"
314565673#0,3206093082,3206093076,7193.83,6222.01,7153.29,6228.88,"7193.83,6222.01 7156.67,6228.31 7153.29,6228.88"
314565673#1,3206093076,3206093080,7143.85,6230.45,7118.75,6234.55,"7143.85,6230.45 7118.75,6234.55"
314565675#0,3206093078,3206093076,7154.75,6259.48,7151.07,6235.7,"7154.75,6259.48 7151.07,6235.70"
314565675#1,3206093076,7232594654,7149.77,6226.26,7143.7,6175.83,"7149.77,6226.26 7144.19,6180.66 7143.70,6175.83"
314566781#1,3206099839,11096775639,8191.38,6294.35,8202.87,6322.93,"8191.38,6294.35 8192.18,6296.11 8195.36,6304.40 8202.87,6322.93"
